Grapheme	IPA	Template	Note
ts			Shibanqiao Gaozhai Pingbian Gaopo Shimenpo Du’an Xiaozhang Kailitang Caidiwan Yaogao Mao'ao Qibainong Xishan Yaolu Bana Younuo Xiashuicun Longhua Longding Shuanglong Youling
tsʰ			Shibanqiao Gaozhai Pingbian Gaopo Shimenpo Du’an Xiaozhang Kailitang Caidiwan Mao'ao Qibainong Xishan Yaolu Bana Younuo Xiashuicun Longhua Longding Shuanglong
tsʰj			Bana Younuo Xiashuicun Longding
tsj			Bana Younuo Xiashuicun Longding Youling
tʂ			Pingbian Gaopo Shimenpo
tʂʰ			Pingbian Gaopo Shimenpo
tʃ			Longhua Yanyuan
tʃʰ			Longhua Yanyuan
tθ			Qibainong
tθʰ			Qibainong
ʈ			Shibanqiao Gaozhai Pingbian Zongdi Shimenpo Du’an Qibainong
ʈʰ			Shibanqiao Gaozhai Pingbian Shimenpo Du’an Qibainong
u			Shibanqiao Gaozhai Pingbian Gaopo Zongdi Shimenpo Du’an Xiaozhang Kailitang Caidiwan Yaogao Heba Gundong Mao'ao Qibainong Xishan Yaolu Bana Younuo Xiashuicun Longhua Longding Yanyuan Shuanglong Youling
uːi			Yanyuan
uːm			Yanyuan
uːn			Yanyuan
uːŋ			Yanyuan
uːt			Yanyuan
ua			Pingbian Zongdi Yaogao Heba Gundong Mao'ao Xishan Younuo Longding Yanyuan
uaːt			Longding
uæ			Heba
uæ̃			Heba
uai			Xishan
uak			Xishan
uan			Xishan Younuo Longding Yanyuan
uaŋ			Xiaozhang Xishan Longding
uat			Longding Yanyuan
ue			Caidiwan Heba Xishan Xiashuicun
uẽ			Heba
uei			Xishan
uen			Xishan
uə			Xishan Shuanglong
uəi			Shuanglong
uək			Xishan
uən			Shuanglong
uəŋ			Xishan Longding
uət			Xishan Shuanglong
uɛ			Shuanglong
ui			Heba Xishan Younuo Xiashuicun Longhua Longding Yanyuan Shuanglong Youling
uk			Xishan Xiashuicun
um			Xishan Youling
un			Caidiwan Heba Xishan Bana Younuo Xiashuicun Longhua Longding Yanyuan Shuanglong Youling
uŋ			Shibanqiao Du’an Xiaozhang Kailitang Caidiwan Heba Mao'ao Xishan Yaolu Bana Xiashuicun Longhua Longding Yanyuan Shuanglong Youling
up			Youling
ut			Xishan Longhua Longding Yanyuan Shuanglong
ɥ			Gaozhai
ɥ̥			Gaozhai
ɯ			Gaopo Zongdi Shimenpo Xiaozhang Qibainong Xishan
ɯa			Xishan
ɯaŋ			Xishan
ɯə			Xishan
ɯəŋ			Xishan
v			Shibanqiao Gaozhai Pingbian Gaopo Shimenpo Xiaozhang Kailitang Caidiwan Yaogao Heba Mao'ao Qibainong Xishan Yaolu Bana Younuo Xiashuicun Yanyuan Youling
vɦ			Shimenpo
